Author,Comment,Like Count,Published At
@thomasciuffreda8783,"What a great debut for the Metatron on FNT! He stayed mostly ailent at the beginning, but once the Gladiator 2 review came around, he made some great insights and analysis. Loved his back and forth with Shad too. As a huge History Tube fan, this was a real treat for me.  :)<br><br>Oh, and JKR did nothing wrong! I honestly hope the HBO series is a great success; it would be the sweetest revenge for the HP fans who have stuck with her since the beginning.",54,2024-11-23T04:12:02Z
@TheSlammurai,I completely forgot about that washing machine commercial from the opening. That shit was WILD.,52,2024-11-23T01:32:53Z
@grandmufftwerkin9037,Metatron and Critical Drinker????<br><br>Ohhhhhh myyyyy goooodddddd!,49,2024-11-23T00:52:37Z
@grandmufftwerkin9037,Gladiator II: The Quest for More Money,48,2024-11-23T00:54:12Z
@michaell8000,dam perry jumped on the jaguar ad holly shit my sides they&#39;ve left orbit.,47,2024-11-23T00:34:09Z
@Likexner,The Metatron has spread his wings.,43,2024-11-23T05:55:48Z
@MissBillyCat,Can we have a Shad vs  Metatron fight please?!,43,2024-11-23T01:00:03Z
@shaw2sebastian,"I&#39;m so sick of Pedro Pascal. He is not and never was as great of an actor as everyone makes him out to be, stop giving this weasel roles!",40,2024-11-23T00:43:56Z
@danielandersen9644,"Lucius is NOT the son of Maximus. During a conversation between Maximus and Lucilla after the opening battle, they discuss their families, including how Maximus&#39; own son is &quot;also nearly eight&quot;. Which means that Maximus was married at the point of Lucius&#39; birth, and I cannot see Maximus as an unfaithful husband, just doesn&#39;t fit his character at all.",39,2024-11-23T09:07:46Z
@TexasBulldog74,Subbed to Metatron to help him get that last bit to a Million.,39,2024-11-23T06:27:02Z
@andrewwall4155,Perry Chan the Legend deserves a medal 🥇! Or maybe just an invite as a guest on FNT for the first time. 😂,36,2024-11-23T00:47:07Z
@grandmufftwerkin9037,"I&#39;ll make my own Gladiator II, with blackjack and hoookers.",34,2024-11-23T00:54:49Z
@Ishwolv,"Godddamn that was the best intro yet. Well done Perry Chan, you&#39;ve outdone yourself.",31,2024-11-23T02:26:01Z
@IronHayden,Metatron!,27,2024-11-23T00:43:45Z
@Papa_Meow_Meow,Those intros are something special 😂,26,2024-11-23T00:48:43Z
@billybatts8283,Maximus being the father makes zero sense. It&#39;s actually an insult to his character.,25,2024-11-23T20:13:11Z
@gianttheworldender914,Metatron is the guy!,24,2024-11-23T02:35:51Z
@mattmiraglia3199,Fuck yeah! Didnt expect to see Metatron!,24,2024-11-23T01:05:50Z
@zhengyingli,"<a href=""https://www.youtube.com/watch?v=-A4iz5OvKLc&amp;t=5051"">1:24:11</a> That Volvo commercial is actually awful. It&#39;s supposedly pro-life but it had the daughter screaming at the father, raving, and falling in love with a black guy. The father&#39;s just a failure in that commercial.",23,2024-11-23T00:45:56Z
@serviusm9523,Gladiator 2 invents a random general as a villain when Caracella is a character. <br>Talk about a missed opportunity. <br>He should be the antagonist,22,2024-11-23T01:27:50Z
@agamble07,"Oh snap Metatron on FNT, this is gonna be a good one.",21,2024-11-23T06:10:06Z
@Isildun9,"It&#39;s Metatron, AKA, Shad&#39;s Italian Cousin.",21,2024-11-23T04:23:29Z
@4thObserver,Welcome to the Fellowship Metatron!,20,2024-11-23T03:33:25Z
@supposedlygreg,"<a href=""UC5T0tXJN5CrMZUEJuz4oovw/-Wu2YIjxItG2gwOdhqFA""></a>METATRON <a href=""UC5T0tXJN5CrMZUEJuz4oovw/ZkkRZLTGGbCB_9EPseyh6A4""></a>❤",20,2024-11-23T01:44:31Z
@smeghead765,The Community of the Sword infiltrates further I see. I approve.,20,2024-11-23T01:27:42Z
@aeonstar293,"Good to see Metatron on here! Been watching his videos a while already. This was great, two of my favorite channels collide.",19,2024-11-23T04:52:30Z
@joshm3484,Holy shit Metatron! 😍,18,2024-11-23T01:45:13Z
@KdogPrime,"I knew Pierry would be lampooning that Jag ad, like a mad lad.",18,2024-11-23T00:47:19Z
@ravinavlal,Ryan&#39;s Forehead song is still there best intro for this,17,2024-11-23T02:48:33Z
@LanceCorporal_Waffles,"Dude, Pierry Chan is an absolute mad genius. Last week and this week&#39;s intros were absolutely AMAZING!",16,2024-11-23T02:14:24Z
@peregrination3643,"I started watching this channel and many of the others in this commentary circle late 2019 and after. But when you added Shad and had Metatron guest, each remind me of how much longer I&#39;ve been watching the medieval/ancient/combat history people. I&#39;m not even sure when that started. Shad was still sitting in a stiff wooden throne in an empty room with a fake frame showing Power Point illustrations. Metatron was as much of a language channel (before he put those on his second channel) as a history one, and half the time a Japan one at that. Well before the whole Game Theory Samurai vs Viking vs Knight debacle, which still makes me chuckle.",15,2024-11-23T03:29:11Z
@bigboppermanny13,Oh crap you got the metatron on your show that guy rocks,15,2024-11-23T03:07:05Z
@kayne8222,Nega soap lmaooooo,14,2024-11-23T01:56:07Z
@DrGeorgePBurdell-USN-1701,"Next time Drinker&#39;s on, can we give him either a Scotty in Engineering or a Highlander beheading intro??😀",13,2024-11-23T05:44:55Z
@michaelamato2434,💥Does anybody REALLY wanna see Wicked or Gladiator 2? I dont know anybody that has talked about either one.💥,13,2024-11-23T01:07:08Z
@lynz223,Nah I&#39;m with Shad on How to Train your Dragon. Stop making live action movies. Especially in modern times with how bad CGI is. I don&#39;t like how Toothless looks at all. I&#39;ll just stick with the animated ones.,11,2024-11-23T12:10:36Z
@mmk749,"Nice to see Metatron here, this guy REALLY knows his history!",11,2024-11-23T07:10:53Z
@nogood237,I love that you had Metatron and Disparu on!!!!!,11,2024-11-23T02:24:39Z
@MisterCross,BEST INTRO in forever!,11,2024-11-23T01:03:20Z
@zhengyingli,"<a href=""https://www.youtube.com/watch?v=-A4iz5OvKLc&amp;t=6139"">1:42:19</a> The far-center does exist - it&#39;s the war uniparty.",11,2024-11-23T00:48:45Z
@MichaelGonzalez-ud9kh,I miss az,11,2024-11-23T00:39:42Z
@jray23,I refuse to see gladiator 2.  Maximus story was complete.  And does not merit a sequel. I rather go watch twilight.  And I HATE TWILIGHT,10,2024-11-23T04:02:19Z
@mattmartin6493,"Husband to a murdered wife, father to a murdered son and I will have my vengeance in life or this next. Gladiator is one of the best movies of all time the original.",10,2024-11-23T03:00:08Z
@Kalbuir66,Just started watching and OMFG what an epic opener....ALL HAIL PIERRY CHAN!!!!!!!!,10,2024-11-23T01:54:55Z
@annatardlordofderps9181,"Rowling has tweeted in defense of black Hermoine multiple times in the past.<br><br>The series itself is overrated to hell, entirely feuled by nostalgia, and Rowling herself is a bitter man-hater with brain rotten by far-left progressive nonsense.<br><br>Simply because shes a part of the show doesnt mean the show wont abuse the books because progs only care about what they feel in the moment.",10,2024-11-23T01:39:58Z
@terenceblakely4328,Has Ryan ever considered renting out billboard space?,8,2024-11-23T02:39:11Z
@Ishmachiah,Why did they have to do my boy Ryan like that in the intro? 😂😂😂😂,8,2024-11-23T01:03:07Z
@jonazo7188,"Shane Gillis is a sellout. He went back on SNL after they shafted him, and now he’s helping Bud Light try to rehabilitate their image. He’s funny but he has no values.",7,2024-11-23T20:07:56Z
@olincekongo,"<i>Metatron finally made it hopefully we can see him more!</i><br><br><a href=""https://www.youtube.com/watch?v=-A4iz5OvKLc&amp;t=840"">14:00</a> J K Rowling -&gt; <a href=""https://www.youtube.com/watch?v=-A4iz5OvKLc&amp;t=1140"">19:00</a><br><a href=""https://www.youtube.com/watch?v=-A4iz5OvKLc&amp;t=1380"">23:00</a> -&gt; <a href=""https://www.youtube.com/watch?v=-A4iz5OvKLc&amp;t=1440"">24:00</a> Indians and blacks<br><a href=""https://www.youtube.com/watch?v=-A4iz5OvKLc&amp;t=1620"">27:00</a> B. Sanderson <br><a href=""https://www.youtube.com/watch?v=-A4iz5OvKLc&amp;t=1740"">29:00</a><br><a href=""https://www.youtube.com/watch?v=-A4iz5OvKLc&amp;t=2040"">34:00</a> -&gt; <a href=""https://www.youtube.com/watch?v=-A4iz5OvKLc&amp;t=2100"">35:00</a> modern audience | empty sits gladiator 2<br><a href=""https://www.youtube.com/watch?v=-A4iz5OvKLc&amp;t=2160"">36:00</a> time travel into the past to shoot because it&#39;s more cheaper😂<br><a href=""https://www.youtube.com/watch?v=-A4iz5OvKLc&amp;t=2280"">38:00</a> -&gt; <a href=""https://www.youtube.com/watch?v=-A4iz5OvKLc&amp;t=2400"">40:00</a> -&gt; <a href=""https://www.youtube.com/watch?v=-A4iz5OvKLc&amp;t=2460"">41:00</a> Epic time when he took off the mask and announced who he is<br><a href=""https://www.youtube.com/watch?v=-A4iz5OvKLc&amp;t=2520"">42:00</a> the monkey <br><a href=""https://www.youtube.com/watch?v=-A4iz5OvKLc&amp;t=2700"">45:00</a> ‼️ Metatron historical accuracy-&gt; <a href=""https://www.youtube.com/watch?v=-A4iz5OvKLc&amp;t=2760"">46:00</a> <a href=""https://www.youtube.com/watch?v=-A4iz5OvKLc&amp;t=2820"">47:00</a> <a href=""https://www.youtube.com/watch?v=-A4iz5OvKLc&amp;t=2880"">48:00</a><br><a href=""https://www.youtube.com/watch?v=-A4iz5OvKLc&amp;t=2940"">49:00</a> Correction towards history -&gt; <a href=""https://www.youtube.com/watch?v=-A4iz5OvKLc&amp;t=3000"">50:00</a> <br><a href=""https://www.youtube.com/watch?v=-A4iz5OvKLc&amp;t=3060"">51:00</a> Sharks-&gt; <a href=""https://www.youtube.com/watch?v=-A4iz5OvKLc&amp;t=3120"">52:00</a> CGI monkey -&gt; <a href=""https://www.youtube.com/watch?v=-A4iz5OvKLc&amp;t=3180"">53:00</a> -&gt; <a href=""https://www.youtube.com/watch?v=-A4iz5OvKLc&amp;t=3540"">59:00</a> ‼️ historical accuracy -&gt;  <a href=""https://www.youtube.com/watch?v=-A4iz5OvKLc&amp;t=3600"">1:00:00</a> grounded story | 50 some days of shooting <br><br><a href=""https://www.youtube.com/watch?v=-A4iz5OvKLc&amp;t=3720"">1:02:00</a> Metatron last coffin pins 😂 [slams Ridley Scott]<br><a href=""https://www.youtube.com/watch?v=-A4iz5OvKLc&amp;t=3780"">1:03:00</a><br><a href=""https://www.youtube.com/watch?v=-A4iz5OvKLc&amp;t=3840"">1:04:00</a> -&gt; statues painted [historical accuracy]<br><a href=""https://www.youtube.com/watch?v=-A4iz5OvKLc&amp;t=3960"">1:06:00</a> 😂 -&gt; <a href=""https://www.youtube.com/watch?v=-A4iz5OvKLc&amp;t=4020"">1:07:00</a> -&gt; <a href=""https://www.youtube.com/watch?v=-A4iz5OvKLc&amp;t=4080"">1:08:00</a> reading newspaper <br><a href=""https://www.youtube.com/watch?v=-A4iz5OvKLc&amp;t=4200"">1:10:00</a> -&gt; <a href=""https://www.youtube.com/watch?v=-A4iz5OvKLc&amp;t=4260"">1:11:00</a> <a href=""https://www.youtube.com/watch?v=-A4iz5OvKLc&amp;t=4320"">1:12:00</a> -&gt; <a href=""https://www.youtube.com/watch?v=-A4iz5OvKLc&amp;t=4380"">1:13:00</a> Come up with original stuff [stop adopting]<br><br>Jaguar <br><a href=""https://www.youtube.com/watch?v=-A4iz5OvKLc&amp;t=4860"">1:21:00</a> <br><br><a href=""https://www.youtube.com/watch?v=-A4iz5OvKLc&amp;t=5400"">1:30:00</a> going to the UK to save money -&gt;  <a href=""https://www.youtube.com/watch?v=-A4iz5OvKLc&amp;t=5460"">1:31:00</a> -&gt; <a href=""https://www.youtube.com/watch?v=-A4iz5OvKLc&amp;t=5580"">1:33:00</a> guns -&gt; <a href=""https://www.youtube.com/watch?v=-A4iz5OvKLc&amp;t=5700"">1:35:00</a> Robin hood <a href=""https://www.youtube.com/watch?v=-A4iz5OvKLc&amp;t=5760"">1:36:00</a><br><a href=""https://www.youtube.com/watch?v=-A4iz5OvKLc&amp;t=6120"">1:42:00</a> attitude -&gt; <a href=""https://www.youtube.com/watch?v=-A4iz5OvKLc&amp;t=6300"">1:45:00</a> -&gt; <a href=""https://www.youtube.com/watch?v=-A4iz5OvKLc&amp;t=6360"">1:46:00</a> WB taking down stuff from them | Nintendo | Japan-&gt; <a href=""https://www.youtube.com/watch?v=-A4iz5OvKLc&amp;t=6780"">1:53:00</a><br><br><a href=""https://www.youtube.com/watch?v=-A4iz5OvKLc&amp;t=8040"">2:14:00</a> short film C. Drinker <br><a href=""https://www.youtube.com/watch?v=-A4iz5OvKLc&amp;t=8400"">2:20:00</a> -&gt; 20 XD<br><a href=""https://www.youtube.com/watch?v=-A4iz5OvKLc&amp;t=8460"">2:21:00</a> XD twilight the vampire wolf show<br><a href=""https://www.youtube.com/watch?v=-A4iz5OvKLc&amp;t=8610"">2:23:30</a> -&gt; <a href=""https://www.youtube.com/watch?v=-A4iz5OvKLc&amp;t=8640"">2:24:00</a> Napoleon -&gt; 40 -&gt; 50<br><a href=""https://www.youtube.com/watch?v=-A4iz5OvKLc&amp;t=8820"">2:27:00</a> -&gt; 30<br><a href=""https://www.youtube.com/watch?v=-A4iz5OvKLc&amp;t=9090"">2:31:30</a> -&gt; <a href=""https://www.youtube.com/watch?v=-A4iz5OvKLc&amp;t=9210"">2:33:30</a><br><a href=""https://www.youtube.com/watch?v=-A4iz5OvKLc&amp;t=9300"">2:35:00</a> Hate bbc<br><a href=""https://www.youtube.com/watch?v=-A4iz5OvKLc&amp;t=9720"">2:42:00</a> <br><a href=""https://www.youtube.com/watch?v=-A4iz5OvKLc&amp;t=10410"">2:53:30</a>  -&gt;  45<br><a href=""https://www.youtube.com/watch?v=-A4iz5OvKLc&amp;t=10500"">2:55:00</a> -&gt; 40 -&gt; 50 Turkey <br><a href=""https://www.youtube.com/watch?v=-A4iz5OvKLc&amp;t=10590"">2:56:30</a> ancient civilization <br><a href=""https://www.youtube.com/watch?v=-A4iz5OvKLc&amp;t=10880"">3:01:20</a><br><a href=""https://www.youtube.com/watch?v=-A4iz5OvKLc&amp;t=11100"">3:05:00</a>",7,2024-11-23T11:10:18Z
@daywither927,"Luke vs Harry? That should be a relatively easy win for Luke. As far as I can recall, wizards are just normal humans with the speed of humans, which automatically gives any Jedi the advantage of being faster, and you can nearly nullify a wizard by taking away his wand, which a Jedi can do literally with his mind. Besides that, even the normal human wizards can dodge at least certain spells, so a Jedi should be able to avoid a good chunk of what gets thrown at him. I could also analyze how precisely you use the magic or the force, but no need to do such complicated stuff: the Jedi would disarm the wizard before he could react, and then do whatever he would do to a normal human while the wizard is busy trying to focus on casting a spell without a wand.",7,2024-11-23T02:46:46Z
@godzilla2k26,Another week and Godzilla X Kong is still one of the best movies this year!,7,2024-11-23T00:51:41Z
@markgregorygacosta531,"Cobra Kai season 2 reminds of how Studio Mappa divided Attack on Titan season 4 to parts 1,2,3. No complaints though,  I love how Cobra Kai is going into this direction, because the story is really good. BTW, that brawl scene in the final episode is the Marineford (One Piece) version of Cobra Kai.<br>I&#39;m also glad you guys brought up One piece as a point of comparisons for making live actions. I can say that OPLA is pretty great because it&#39;s like the &#39;believable&#39; &#39;serious&#39; or realistic version. <br>One piece (specially in the early 2000s) has goofy art styles and animation comparable to Western shows, and this is what stopped most people from starting the series. But  what really makes this show thrive up to now with a huge loyal fan base are the brilliant characterization, amazing story, plot twists, mysterious characters, fan theories, foreshadowing, power system, and even attention to details. <br>This is why it has over a thousand episodes now, and we even think it&#39;s not enough because there&#39;s still a lot to be told. <br>But honestly right now the current anime actually has amazing animation. <br>Can&#39;t wait for you guys to get to Egghead island arc and watch Garp battle tremendously strong Blackbeard pirate crew members.",7,2024-11-23T00:34:30Z
@DrGeorgePBurdell-USN-1701,Metatron and Drinker?! Speechless in joyous wonder!!,6,2024-11-23T05:39:17Z
@BlueSkyBS,"Derek Jacobi: playing Romans since the mid 70s. And I&#39;d rather watch &quot;I, Claudius&quot; than  Gladiator 2.",6,2024-11-23T04:43:50Z
@danieltaylor6836,dose anyone else think the popularity of wicked makes a good argument as to why women shouldn&#39;t vote,6,2024-11-23T02:57:54Z
@frankie3010,"You guys cannot honestly tell that Cobra Kai is good now. Its literally everything wrong with Hollywood EXCEPT being super woke: shallow characters, fanservice with no purpose for being there, recycled rivalries that don&#39;t amount to anything, terrible pacing... The show is shit! And its been shit for at least two seasons, with big cracks already appearing in Season 4.",5,2024-11-23T07:05:46Z
@samuel_m84,"I will never forget, when my Professor for ancient history said: „If you want to know, how the roman legion worked, watch the beginning of Gladiator.“ They really did good work there.",5,2024-11-23T06:34:42Z
@AzmanRacoon-bq1jt,Is this the same Metatron who actually educated Japanese people in yt how they are wrong about their own history that Yasuke is in fact samurai which US keep insisting Japan Yasuke was. Yeah... Ask Egyptians if Cleopatra of the Ptolemaic Dynasty was African or ask the English if Anne Boleyn was black. Yeah...not a fan.,5,2024-11-23T03:59:22Z
@drivingavery,Best intro yet!,5,2024-11-23T03:18:42Z
@KurtBoulter,"The original Gladiator, had a great deal of special effects, including the entire Colosseum. DO a Youtube search!",5,2024-11-23T03:18:42Z
@Sifu-intraining,hey we had Az back atleast at the start of the show lol,5,2024-11-23T03:18:14Z
@sandman_says_runrunner4701,Too little too late for Bud Light.<br><br>EDIT:  I have no interest in &quot;Wicked&quot; as I am tired of all this &quot;humanizing&quot; villains.  We need white hats and black hats... grey hats suck.,5,2024-11-23T02:41:37Z
@Dirty_Hamble,The best FNT opening EVER!! 😂😂👏👏,5,2024-11-23T01:06:42Z
@megatwingo,"1) Jaguar, you&#39;ve done goofed up!<br>2) Budlight: Fuck off. Too bad that I can&#39;t boycott you because I&#39;m not living in the USA.<br>3) I&#39;m a fan of Gary&#39;s show, but those were too many guests. I wanted to hear Megatron much more often. But the few times he was able to make himself heard, he was half of the time interrupted by the usual suspects. But I blame the much too high number of guests. That makes no sense anymore.",4,2024-11-24T05:10:23Z
@theglanconer6463,Concerning Wicked. Just imagine being a grown man and having the same taste as your 11 year old daughter.,4,2024-11-23T18:04:39Z
@jdbwz5307,I turned off ONE PIECE around episode 2 when I confirmed one of the main characters is trans. I have zero interest in watching trans actors.,4,2024-11-23T16:31:04Z
@WontStopMeNow,&quot;I&#39;m going to be a lot more bothered about a black Hermione than a quarter black Astrid.&quot;<br>There were no quarter black vikings.<br>Every day the FNT crew becomes more woke.,4,2024-11-23T11:09:24Z
@jessekoepp3928,Holy hot damn that intro! 🤣 Truly the Chan of House Pierry has somehow transcended legendary and become meme divine. 😇,4,2024-11-23T07:00:16Z
@katnerd6712,"Adult Harry Potter is an Auror, he is allowed to use the forbidden curses as an Auror. That said, Luke Skywalker post RotJ is a fully trained warrior of immense power. Harry&#39;s killing curse is aimed and does have to hit it&#39;s target, which it&#39;s unlikely Harry could hit Luke with anything that Harry has to aim. Luke would also be immensely faster than Harry, seeing as that is a Jedi thing. So, honestly, Harry vs. Luke...Luke every time, all day long. An Auror knows how to fight, but that&#39;s not the same as a fully trained combat Jedi, which is what Luke, essentially, is.",4,2024-11-23T04:06:18Z
@JW-nc3zr,Daniel Radcliffe is the weakest part on the movie series,4,2024-11-23T03:10:00Z
@PatstarDeluxe,I had no idea who Metatron was before this stream... and I still don&#39;t. Dude barely got involved.,4,2024-11-23T02:29:55Z
@jamesmansfield67,Still the most epic intro to anything ever.,4,2024-11-23T01:12:54Z
@buren.dfarucon2744,Perry chan amazing as always,4,2024-11-23T01:04:52Z
@spider-cop007VII,"If crafting fantasy doesn’t need to be “historically fact” or accurate, then why can’t Black Panther be white!",3,2024-11-24T16:58:41Z
@Abishopa,"Guys for the love of God please turn down the advertisement cadence...it literally feels like one pops up every 3mins. Love the show and all your channels, keep fighting the good fight...hail!",3,2024-11-24T16:40:03Z
@cameronjames3499,So did they dunk on this &quot;alleged historian&quot;/moron for his self-discrediting defense of the Yasuke fraud? Or did they just wimp out? (sadly now that Az is gone there likely isn&#39;t someone as willing to do the initial kick of the hornet&#39;s nest in defense of good video games),3,2024-11-23T09:59:31Z
@BL4CK_ICE,"He has beforehead, forehead, and afterhead! 🤣",3,2024-11-23T08:53:37Z
@dissident_media,Ads are getting on my tits man,3,2024-11-23T08:45:48Z
@VJ_The_Vigilant_Guitarist,Gladiator unworthy?! It&#39;s one of the greatest movies of all time.,3,2024-11-23T08:45:30Z
@VJ_The_Vigilant_Guitarist,Perry Chan will heal the world,3,2024-11-23T07:59:59Z
@borisfrlic,Just watched Gladiator II. What a piece of shit.,3,2024-11-23T06:13:47Z
@kerrylawson7515,Errol Flynn is the only Robin Hood.  Costner&#39;s acting resembled an animatronic and his accent kept disappearing.,3,2024-11-23T06:00:10Z
@joshuagarner1654,Every time a find a new YouTube channel they end up on this show,3,2024-11-23T03:51:07Z
@crosbyhoffman1304,Ryan continues to be the only voice of reason amongst the crew...,3,2024-11-23T03:27:30Z
@danieltaylor6836,I love how Ryan makes the point the the audience doesnt care about wicked and then they drone on about it was for half the show save that shit for rumble,3,2024-11-23T01:48:46Z
@John-jy2qi,Hello thy fellow felloshipers iam sick today but wanted to chime in Harry Potter hasn&#39;t gotten the Disney woke treatment across the board that&#39;s part of the strength of it love jk Rowling&#39;s am proud of her standing her ground,3,2024-11-23T01:22:23Z
@IsaacOsho-fb8zj,Wicked was surprisingly really good 👍,3,2024-11-23T00:48:01Z
@mansfieldtime,FIRST?,3,2024-11-23T00:31:59Z
@HSGAutomotive,"The farming situation is easy: Own all the land, government will run the big names, once you control food production you control the people",2,2024-11-25T08:38:39Z
@defaultytuser,"These intros!! LMAO, Cheff kiss. Love to see Shad , Meta and Critical Drinker on the same stream",2,2024-11-24T19:28:32Z
@zonefreakman,Ryan always has the best takes. Please please make Hermione and Ron black to fulfill the racist stereotypes.,2,2024-11-24T15:42:06Z
@Krampusvongrinch,"Pierry Chan should give the blue face paint to Ryan, so he can dress for Halloween next year &amp; hand out Green Lantern rings.",2,2024-11-24T13:51:34Z
@Bat-Twenty-Two,I&#39;m with Shad on Lucius pointlessly turned into Maximus&#39;s son. Maximus was a man of honor who had lost his family. Of course he would care for the safety of his ex&#39;s son because (1) she had made it clear how concerned she was for Lucius&#39;s safety and (2) he had lost his own child as well.,2,2024-11-24T09:01:52Z
@MaesterMike,That was the best Pierry Chan intro in a long time. I should have known he&#39;d make a parody of that Jaguar ad. And I can&#39;t believe he used that Chinese laundry detergent ad. He&#39;s got a wild and dirty imagination.,2,2024-11-23T20:46:47Z
@liahfox5840,"I never realized it, but you guys aren&#39;t much brighter than the developers/producers. Not only does the imaginary audience not exist, but many people will actively support anything deemed &quot;anti-woke.&quot; I&#39;ll give you two examples. I bought Kyle Rittenhouse&#39;s book, and never read a page. I bought Alex Jones video game, and never even logged in. Now in contrast, I pirated all recent Final Fantasy games including the FFVII remakes. I won&#39;t pay for anything woke.",2,2024-11-23T18:48:21Z
@Silenthero66,Metatron is a massive fence sitter. I had to unsub. He&#39;s so obnoxious about it. Surprised to see him here really.,2,2024-11-23T14:23:54Z
@S4ns,X-Ray Girl keeps praising Wicked and all I&#39;ll ever remember is she voted to Trudeau because he was &quot;cute&quot;.<br><br>I&#39;m sure the movie will make a billion dollars and I&#39;m thrilled for all the women and gays that can have Barbie 2.0.<br><br>Hopefully Hollywood will recognize they can make money off of female driven IPs aimed at women and the alphabets and leave the male stuff for guys.,2,2024-11-23T13:06:11Z
@SpocksBro,"Poor Ryan, so much intro abuse by Pierry. Thanks for the laugh!",2,2024-11-23T12:29:13Z
@dUCkslF,Intro kills me everytime 👏 😂,2,2024-11-23T10:59:53Z
@frankiesomeone,"Shad is right, the HTTYD dragons in live action should look less cartoonish",2,2024-11-23T10:49:47Z
@smallies7154,Every steam is woke Hollywood when you nothing to talk about,2,2024-11-23T08:47:16Z
@dazza1156,I need some bleach for my eyes after that opening countdown image.. thanks guys 👍,2,2024-11-23T07:54:12Z
@pawelmacpoof5687,Farming UK. They used to have Death Duties and my father spent decades paying off his father. He gave up his career to work on the farm out of family duty. Not that it isn’t without its perks.,2,2024-11-23T07:46:02Z
@Mirage238,They should have made another movie about the Roman Empire. Not leaning on the Gladiator but I liked this movie. Denzel was great as the bad guy.,2,2024-11-23T07:28:36Z
@BookSquirrelUK,"<a href=""https://www.youtube.com/watch?v=-A4iz5OvKLc&amp;t=4584"">1:16:24</a> Jaguar stock briefly tumbled, I think, but then quickly recovered.",2,2024-11-23T07:23:22Z
@photodude24,The two Emperor’s in Gladiator II were awful like the twin ghosts in Matrix Reloaded.,2,2024-11-23T07:04:15Z
@franciscooctavius5957,The one pic every day for 30 years is some serious seriously good work Pierry. And that song will never get old. <br>Excellent FNT. Hail!,2,2024-11-23T06:26:38Z
@miloatpsychoblab7338,Thank you for joining us at Grand Rapids Comic Con. Getting a sneak peek of Rouge Elements was a huge bonus!! Hope to see you guys&#39; again next year.,2,2024-11-23T05:15:58Z
@geminijustgemini7784,Pedro Pascal has become the TommyLeeJones of this decade.  He’s in way too many movies.,2,2024-11-23T04:45:13Z
